imslp_title,composer_name,work_title,source_category,instrumentation_category,alternate_instrumentations,url,arrangement_count,arrangers
"'O sole mio (Di Capua, Eduardo)","Di Capua, Eduardo",'O sole mio,For guitar (arr),Solo,,https://imslp.org/wiki/%27O_sole_mio_%28Di_Capua%2C_Eduardo%29,1,Tárrega
"10 Choral Pieces, Op.27 (Chesnokov, Pavel)","Chesnokov, Pavel","10 Choral Pieces, Op.27",For guitar (arr),Solo,,https://imslp.org/wiki/10_Choral_Pieces%2C_Op.27_%28Chesnokov%2C_Pavel%29,1,Strong
"10 Composiciones (Prat, Domingo)","Prat, Domingo",10 Composiciones,For guitar (arr),Solo,,https://imslp.org/wiki/10_Composiciones_%28Prat%2C_Domingo%29,0,
"10 National Airs with Variations, Op.107 (Beethoven, Ludwig van)","Beethoven, Ludwig van","10 National Airs with Variations, Op.107",For guitar (arr),Solo,,https://imslp.org/wiki/10_National_Airs_with_Variations%2C_Op.107_%28Beethoven%2C_Ludwig_van%29,1,Apke
"10 Petits morceaux, Op.94 (Moszkowski, Moritz)","Moszkowski, Moritz","10 Petits morceaux, Op.94",For 2 guitars (arr),Duo,,https://imslp.org/wiki/10_Petits_morceaux%2C_Op.94_%28Moszkowski%2C_Moritz%29,1,2 Höger
"10 Pieces favorites de differents Auteurs, Op.28 (Diabelli, Anton)","Diabelli, Anton","10 Pieces favorites de differents Auteurs, Op.28",For guitar (arr),Solo,,https://imslp.org/wiki/10_Pieces_favorites_de_differents_Auteurs%2C_Op.28_%28Diabelli%2C_Anton%29,0,
"10 Pieces, Op.6 (Barmotin, Semyon)","Barmotin, Semyon","10 Pieces, Op.6",For 3 guitars (arr),Trio,,https://imslp.org/wiki/10_Pieces%2C_Op.6_%28Barmotin%2C_Semyon%29,1,3 Höger
"100 Recreations (Bayer, Eduard)","Bayer, Eduard",100 Recreations,For guitar (arr),Solo,,https://imslp.org/wiki/100_Recreations_%28Bayer%2C_Eduard%29,0,
"12 Arabesques, Op.6 (Korganov, Genary)","Korganov, Genary","12 Arabesques, Op.6",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Arabesques%2C_Op.6_%28Korganov%2C_Genary%29,1,2 Höger
"12 Canzonette Venetiane (Mayr, Giovanni Simone)","Mayr, Giovanni Simone",12 Canzonette Venetiane,"For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/12_Canzonette_Venetiane_%28Mayr%2C_Giovanni_Simone%29,0,
